date,equity,peak,dd,year,month
2025-06-27,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-30,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-07-01,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-07
2025-07-02,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-07
2025-07-03,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-07
2025-07-04,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-07
2025-07-07,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-07
2025-07-08,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-07
2025-07-09,19818.357299804688,21976.213745117188,-0.09819054684940653,2025,2025-07
2025-07-10,19798.588745117188,21976.213745117188,-0.09909009009724612,2025,2025-07
2025-07-11,19502.046752929688,21976.213745117188,-0.11258386093633743,2025,2025-07
2025-07-14,19695.786987304688,21976.213745117188,-0.10376795494716096,2025,2025-07
2025-07-15,20063.496948242188,21976.213745117188,-0.08703577509114735,2025,2025-07
2025-07-16,20146.530151367188,21976.213745117188,-0.0832574534890721,2025,2025-07
2025-07-17,20277.006713867188,21976.213745117188,-0.07732028141688152,2025,2025-07
2025-07-18,20700.073120117188,21976.213745117188,-0.05806917605556783,2025,2025-07
2025-07-22,20964.983276367188,21976.213745117188,-0.04601477217496952,2025,2025-07
2025-07-23,21123.135620117188,21976.213745117188,-0.038818248443253434,2025,2025-07
2025-07-24,21807.157104492188,21976.213745117188,-0.0076927100630590495,2025,2025-07
2025-07-25,21807.157104492188,21976.213745117188,-0.0076927100630590495,2025,2025-07
2025-07-28,21807.157104492188,21976.213745117188,-0.0076927100630590495,2025,2025-07
2025-07-29,21807.157104492188,21976.213745117188,-0.0076927100630590495,2025,2025-07
2025-07-30,21807.157104492188,21976.213745117188,-0.0076927100630590495,2025,2025-07
2025-07-31,21807.157104492188,21976.213745117188,-0.0076927100630590495,2025,2025-07
2025-08-01,21414.413696289062,21976.213745117188,-0.025564005489933317,2025,2025-08
2025-08-04,21405.685913085938,21976.213745117188,-0.025961152300769452,2025,2025-08
2025-08-05,21946.798217773438,21976.213745117188,-0.0013385166200563514,2025,2025-08
2025-08-06,22828.285522460938,22828.285522460938,0.0,2025,2025-08
2025-08-07,23116.297241210938,23116.297241210938,0.0,2025,2025-08
2025-08-08,25394.200805664062,25394.200805664062,0.0,2025,2025-08
2025-08-12,27069.901000976562,27069.901000976562,0.0,2025,2025-08
2025-08-13,27148.451049804688,27148.451049804688,0.0,2025,2025-08
2025-08-14,28291.766723632812,28291.766723632812,0.0,2025,2025-08
2025-08-15,30028.557983398438,30028.557983398438,0.0,2025,2025-08
2025-08-18,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-19,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-20,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-21,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-22,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-25,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-26,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-27,30351.480834960938,30351.480834960938,0.0,2025,2025-08
2025-08-28,30351.480834960938,30351.480834960938,0.0,2025,2025-08
